ref,categorie,title,price,tags,description
Â B4084600,rings,Love ring,1650.0,yellow gold,"Love ring, 18K yellow gold. Width: 5.5mm."
Â B4084900,rings,Love ring,3650.0,platinum,"Love ring, 950/1000 platinum. Width: 5.5mm."
Â B4084800,rings,Love ring,1650.0,pink gold,"Love ring, 18K rose gold. Width: 5.5mm."
Â B4084700,rings,Love ring,1770.0,white gold,"Love ring, 18K white gold. Width: 5.5mm."
Â B4085000,rings,Love wedding band,1070.0,yellow gold,"Love wedding band, 18K yellow gold. Width: 3.6mm."
Â B4085200,rings,Love wedding band,1070.0,pink gold,"Love wedding band, 18K rose gold. Width: 3.6mm."
Â B4094300,rings,"Love ring, 6 diamonds",,"pink gold, white gold, diamonds","Love ring, 18K rose gold, 18K white gold, set with 6 brilliant-cut diamonds totaling 0.07 carats. White gold width 2.6mm. Rose gold width 3.5mm."
Â B4085100,rings,Love wedding band,1140.0,white gold,"Love wedding band, 18K white gold. Width: 3.6mm."
Â B4085300,rings,Love wedding band,2380.0,platinum,"Love wedding band, 950/1000 platinum. Width: 3.6mm."
Â B4032400,rings,"Love ring, 3 diamonds",,"yellow gold, diamonds","Love ring, 18K yellow gold, set with 3 brilliant-cut diamonds totaling 0.22 carats. Width: 5.5mm."
Â B4087500,rings,"Love ring, 3 diamonds",3500.0,"pink gold, diamonds","Love ring, 18K rose gold, set with 3 brilliant-cut diamonds totaling 0.22 carats. Width: 5.5mm."
Â B4032500,rings,"Love ring, 3 diamonds",3750.0,"white gold, diamonds","Love ring, 18K white gold, set with 3 brilliant-cut diamonds totaling 0.22 carats. Width: 5.5mm."
Â B4056100,rings,"Love wedding band, 1 diamond",2020.0,"yellow gold, diamond","Love wedding band, 18K yellow gold, set with 1 brilliant-cut diamonds totaling 0.02 carats. Width: 4mm."
Â B4050700,rings,"Love wedding band, 1 diamond",2020.0,"pink gold, diamond","Love wedding band, 18K rose gold, set with 1 brilliant-cut diamonds totaling 0.02 carats. Width: 4mm."
Â B4050500,rings,"Love wedding band, 1 diamond",2160.0,"white gold, diamond","Love wedding band, 18K white gold, set with 1 brilliant-cut diamond totaling 0.02 carats. Width: 4mm."
Â B4097500,rings,Love ring,5250.0,"pink gold, diamonds","Love ring, 18K pink gold, set with 6 brilliant-cut diamonds totaling 0.46 carat. Width 5.5 mm."
Â B4056200,rings,"Love wedding band, 8 diamonds",3550.0,"yellow gold, diamonds","Love wedding band, 18K yellow gold, set with 8 brilliant-cut diamonds totaling 0.19 carats. Width: 4mm."
Â B4050800,rings,"Love wedding band, 8 diamonds",3550.0,"pink gold, diamonds","Love wedding band, 18K rose gold, set with 8 brilliant-cut diamonds totaling 0.19 carats. Width: 4mm."
