CODE,TYPE,HEADING,LABELS,COST,DETAILS
 B4084600,rings,Love ring,yellow gold,1650.0,"Love ring, 18K yellow gold. Width: 5.5mm."
 B4084900,rings,Love ring,platinum,3650.0,"Love ring, 950/1000 platinum. Width: 5.5mm."
 B4084800,rings,Love ring,pink gold,1650.0,"Love ring, 18K rose gold. Width: 5.5mm."
 B4084700,rings,Love ring,white gold,1770.0,"Love ring, 18K white gold. Width: 5.5mm."
 B4085000,rings,Love wedding band,yellow gold,1070.0,"Love wedding band, 18K yellow gold. Width: 3.6mm."
 B4085200,rings,Love wedding band,pink gold,1070.0,"Love wedding band, 18K rose gold. Width: 3.6mm."
 B4094300,rings,"Love ring, 6 diamonds","pink gold, white gold, diamonds",,"Love ring, 18K rose gold, 18K white gold, set with 6 brilliant-cut diamonds totaling 0.07 carats. White gold width 2.6mm. Rose gold width 3.5mm."
 B4085100,rings,Love wedding band,white gold,1140.0,"Love wedding band, 18K white gold. Width: 3.6mm."
 B4085300,rings,Love wedding band,platinum,2380.0,"Love wedding band, 950/1000 platinum. Width: 3.6mm."
 B4032400,rings,"Love ring, 3 diamonds","yellow gold, diamonds",,"Love ring, 18K yellow gold, set with 3 brilliant-cut diamonds totaling 0.22 carats. Width: 5.5mm."
 B4087500,rings,"Love ring, 3 diamonds","pink gold, diamonds",3500.0,"Love ring, 18K rose gold, set with 3 brilliant-cut diamonds totaling 0.22 carats. Width: 5.5mm."
 B4032500,rings,"Love ring, 3 diamonds","white gold, diamonds",3750.0,"Love ring, 18K white gold, set with 3 brilliant-cut diamonds totaling 0.22 carats. Width: 5.5mm."
 B4056100,rings,"Love wedding band, 1 diamond","yellow gold, diamond",2020.0,"Love wedding band, 18K yellow gold, set with 1 brilliant-cut diamonds totaling 0.02 carats. Width: 4mm."
 B4050700,rings,"Love wedding band, 1 diamond","pink gold, diamond",2020.0,"Love wedding band, 18K rose gold, set with 1 brilliant-cut diamonds totaling 0.02 carats. Width: 4mm."
