,Title,Description,Date and resource
0,"After $4 billion Infosys demand, India may target other IT majors, source says",Both companies have committed to a renewed effort to provide a better service to customers by building on their longstanding relationship.,Verdict • 21 minutes ago
1,"After $4 billion Infosys demand, India may target other IT majors, source says",Both companies have committed to a renewed effort to provide a better service to customers by building on their longstanding relationship.,PR Newswire • 11 hours ago
2,"After $4 billion Infosys demand, India may target other IT majors, source says",Both companies have committed to a renewed effort to provide a better service to customers by building on their longstanding relationship.,Zacks • yesterday
3,"After $4 billion Infosys demand, India may target other IT majors, source says",Both companies have committed to a renewed effort to provide a better service to customers by building on their longstanding relationship.,Zacks • yesterday
4,"After $4 billion Infosys demand, India may target other IT majors, source says",Both companies have committed to a renewed effort to provide a better service to customers by building on their longstanding relationship.,PR Newswire • 4 days ago
5,"After $4 billion Infosys demand, India may target other IT majors, source says",Both companies have committed to a renewed effort to provide a better service to customers by building on their longstanding relationship.,Yahoo Finance UK • 8 days ago
6,"After $4 billion Infosys demand, India may target other IT majors, source says",Both companies have committed to a renewed effort to provide a better service to customers by building on their longstanding relationship.,Zacks • 11 days ago
7,"After $4 billion Infosys demand, India may target other IT majors, source says",Both companies have committed to a renewed effort to provide a better service to customers by building on their longstanding relationship.,PR Newswire • 12 days ago
8,"After $4 billion Infosys demand, India may target other IT majors, source says",Both companies have committed to a renewed effort to provide a better service to customers by building on their longstanding relationship.,Zacks • 13 days ago
9,"After $4 billion Infosys demand, India may target other IT majors, source says",Both companies have committed to a renewed effort to provide a better service to customers by building on their longstanding relationship.,PR Newswire • 13 days ago
10,"After $4 billion Infosys demand, India may target other IT majors, source says",Both companies have committed to a renewed effort to provide a better service to customers by building on their longstanding relationship.,Verdict • 15 days ago
11,"After $4 billion Infosys demand, India may target other IT majors, source says",Both companies have committed to a renewed effort to provide a better service to customers by building on their longstanding relationship.,Insider Monkey • 15 days ago
12,"After $4 billion Infosys demand, India may target other IT majors, source says",Both companies have committed to a renewed effort to provide a better service to customers by building on their longstanding relationship.,Zacks • 18 days ago
13,"After $4 billion Infosys demand, India may target other IT majors, source says",Both companies have committed to a renewed effort to provide a better service to customers by building on their longstanding relationship.,Reuters • 18 days ago
14,"After $4 billion Infosys demand, India may target other IT majors, source says",Both companies have committed to a renewed effort to provide a better service to customers by building on their longstanding relationship.,Zacks • 19 days ago
15,"After $4 billion Infosys demand, India may target other IT majors, source says",Both companies have committed to a renewed effort to provide a better service to customers by building on their longstanding relationship.,Zacks • 29 days ago
16,"After $4 billion Infosys demand, India may target other IT majors, source says",Both companies have committed to a renewed effort to provide a better service to customers by building on their longstanding relationship.,Reuters • last month
17,"After $4 billion Infosys demand, India may target other IT majors, source says",Both companies have committed to a renewed effort to provide a better service to customers by building on their longstanding relationship.,MT Newswires • last month
18,"After $4 billion Infosys demand, India may target other IT majors, source says",Both companies have committed to a renewed effort to provide a better service to customers by building on their longstanding relationship.,PR Newswire • last month
19,"After $4 billion Infosys demand, India may target other IT majors, source says",Both companies have committed to a renewed effort to provide a better service to customers by building on their longstanding relationship.,Reuters • last month
20,"Container Store Group (TCS) Reports Q4 Loss, Tops Revenue Estimates","The teen retailer hired BowFlex, Inc. veteran Aina Konold, while the apparel company saw sales increase 21% year over year to $1.1 billion.",Retail Dive • 11 days ago
21,"Container Store Group (TCS) Reports Q4 Loss, Tops Revenue Estimates","The teen retailer hired BowFlex, Inc. veteran Aina Konold, while the apparel company saw sales increase 21% year over year to $1.1 billion.",Business Wire • 17 days ago
22,"Container Store Group (TCS) Reports Q4 Loss, Tops Revenue Estimates","The teen retailer hired BowFlex, Inc. veteran Aina Konold, while the apparel company saw sales increase 21% year over year to $1.1 billion.",WWD • 18 days ago
23,"Container Store Group (TCS) Reports Q4 Loss, Tops Revenue Estimates","The teen retailer hired BowFlex, Inc. veteran Aina Konold, while the apparel company saw sales increase 21% year over year to $1.1 billion.",Simply Wall St. • last month
24,"Container Store Group (TCS) Reports Q4 Loss, Tops Revenue Estimates","The teen retailer hired BowFlex, Inc. veteran Aina Konold, while the apparel company saw sales increase 21% year over year to $1.1 billion.",Thomson Reuters StreetEvents • last month
25,"Container Store Group (TCS) Reports Q4 Loss, Tops Revenue Estimates","The teen retailer hired BowFlex, Inc. veteran Aina Konold, while the apparel company saw sales increase 21% year over year to $1.1 billion.",Retail Dive • last month
